Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
Advanced Analytics for Microsoft Dynamics CRM,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/microsoft-dynamics-crm,YES,YES,29,2025-01-07 16:13:30
Advanced Analytics for HubSpot CRM,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/hubspot-crm,YES,YES,26,2025-01-07 16:13:47
Advanced Analytics for Bigin,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/advanced-analytics-for-bigin,YES,YES,28,2025-01-07 16:24:03
Advanced Analytics for Teamwork CRM,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/advanced-analytics-for-teamwork-crm,YES,YES,27,2025-01-07 16:24:20
Advanced Analytics for Zoho Connect,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/advanced-analytics-for-zoho-connect,YES,YES,8,2025-01-07 16:34:39
Zoho Marketing Automation Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/zoho-marketing-automation-advanced-analytics,YES,YES,9,2025-01-07 16:34:52
Advanced Analytics for Zoho Backstage,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/advanced-analytics-for-zoho-backstage,YES,YES,8,2025-01-07 16:35:05
Advanced Analytics for Klaviyo,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/advanced-analytics-for-klaviyo,YES,YES,26,2025-01-07 16:35:17
Advanced Analytics for Google Search Console,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/advanced-analytics-for-google-search-console,YES,YES,19,2025-01-07 16:45:33
Advanced Analytics for YouTube Ads,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/youtube-ads,YES,YES,24,2025-01-07 16:45:47
Zoho Campaigns Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/zoho-campaigns-analytics,YES,YES,23,2025-01-07 16:56:04
Zoho Survey Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/zoho-survey-analytics,YES,YES,22,2025-01-07 16:56:20
SurveyMonkey Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/survey-monkey,YES,YES,21,2025-01-07 17:06:35
Alchemer Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/alchemer,YES,YES,22,2025-01-07 17:06:51
Mailchimp Advanced Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/mailchimp-analytics,YES,YES,25,2025-01-07 17:17:06
Google Analytics 4 Advanced Reporting,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/marketing-analytics/articles/google-analytics-4-advanced-reporting,YES,YES,21,2025-01-07 17:17:22
